Skill,Type,Effect,skill_max_level
Flayer,Armor,"Makes it easier to inflict wounds. Upon inflicting enough damage, also deals additional non-elemental damage,Lv. 1:Makes it ever so slightly easier to inflict wounds. Also deals additional non-elemental damage.Lv. 2:Makes it moderately easier to inflict wounds. Also deals slightly more additional non-elemental damage.Lv. 3:Makes it easier to inflict wounds. Also deals moderately more additional non-elemental damage.Lv. 4:Makes it much easier to inflict wounds. Also deals more additional non-elemental damage.Lv. 5:Makes it significantly easier to inflict wounds. Also deals much more additional non-elemental damage.",5
Flinch Free,Armor,Prevents knockbacks and other reactions to small damage.Lv. 1:Prevents knockbacks.Lv. 2:Prevents knockbacks. Tripping is reduced to a knockback instead.Lv. 3:Prevents knockbacks and tripping.,3
Foray,Armor,Increases attack power and affinity against large monsters affected by poison or paralysis.Lv. 1:Attack +6 against large monsters affected by poison or paralysis.Lv. 2:Attack +8 and affinity +5% against large monsters affected by poison or paralysis.Lv. 3:Attack +10 and affinity +10% against large monsters affected by poison or paralysis.Lv. 4:Attack +12 and affinity +15% against large monsters affected by poison or paralysis.Lv. 5:Attack +15 and affinity +20% against large monsters affected by poison or paralysis.,5
Free Meal,Armor,Gives you a predetermined chance of consuming a food or drink item for free.Lv. 1:Activates 10% of the time.Lv. 2:Activates 25% of the time.Lv. 3:Activates 45% of the time.,3
Geologist,Armor,Increases the number of times you gain at gathering points.Lv. 1:One extra item when gathering from bonepiles.Lv. 2:Additionally adds one extra item when gathering special items.Lv. 3:Additionally adds one extra item when gathering from mining outcrops.,3
Heroics,Armor,Increases attack power and defense when health drops to 35% or lower.Lv. 1:Defense +50 while active.Lv. 2:Attack +5% and defense +50 while active.Lv. 3:Attack +5% and defense +100 while active.Lv. 4:Attack +10% and defense +100 while active.Lv. 5:Attack +30% and defense-increasing effects are negated while active.,5
Hunger Resistance,Armor,Reduces maximum stamina depetion over time.Lv. 1:Extends the time until your stamina cap reduces by 50%.Lv. 2:Extends the time until your stamina cap reduces by 100%.Lv. 3:Prevents your stamina cap from decreasing.,3
Ice Resistance,Armor,Increases ice resistance. Also improves defense at higher levels.Lv. 1:Ice resistance +6.Lv. 2:Ice resistance +12.Lv. 3:Ice resistance +20. Defense +10.,3
Intimidator,Armor,Reduces the chance small monsters will attack after spotting you. (Has no effect on certain monsters.)Lv. 1:Discourages monsters from engaging you even if you've been spotted.Lv. 2:Highly discourages monsters from engaging you even if you've been spotted.Lv. 3:Prevents monsters from engaging you even if you've been spotted.,3
Iron Skin,Armor,Grants protection against defense down.Lv. 1:Reduces the duration of defense down by 50%.Lv. 2:Reduces the duration of defense down by 75%.Lv. 3:Prevents defense down.,3
Item Prolonger,Armor,Extends the duration of some item effects.Lv. 1:Item effect duration +10%.Lv. 2:Item effect duration +25%.Lv. 3:Item effect duration +50%.,3
Jump Master,Armor,Prevents attacks from knocking you back during a jump.Lv. 1:Negates knockback during jumps.,1
Latent Power,Armor,"Temporarily increases affinity and reduces stamina depletion when certain conditions are met.Lv. 1:While active, affinity +10% and reduces stamina depletion by 30%.Lv. 2:While active, affinity +20% and reduces stamina depletion by 30%.Lv. 3:While active, affinity +30% and reduces stamina depletion by 50%.Lv. 4:While active, affinity +40% and reduces stamina depletion by 50%.Lv. 5:While active, affinity +50% and reduces stamina depletion by 50%.",5
Leap of Faith,Armor,Allows you to do a dive-evade when facing towards large monsters and extends the dive-evade distance.Lv. 1:Enables skill use.,1
Marathon Runner,Armor,Slows down stamina depletion for actions that continuously drain stamina (such as dashing).Lv. 1:Reduces continuous stamina depletion by 15%.Lv. 2:Reduces continuous stamina depletion by 30%.Lv. 3:Reduces continuous stamina depletion by 50%.,3
Maximum Might,Armor,Increases affinity if stamina is kept full for a period of time.Lv. 1:Affinity +10% while activeLv. 2:Affinity +20% while activeLv. 3:Affinity +30% while active,3
Mushroomancer,Armor,"Lets you digest mushrooms that would otherwise be inedible and gain their advantageous effects.Lv. 1:Lets you digets blue mushrooms and toadstools.Lv. 2:Additionally lets you digest nitroshrooms and parashrooms.Lv. 3:Additionally lets you digest mandragoras, devil's blight, and exciteshrooms.",3
Outdoorsman,Armor,"Improves fishing, grilling, and transporting abilities.Lv. 1:Improves fishing, grilling, and transporting abilities.",1
Palico Rally,Armor,Powers up Palicoes.Lv. 1:Increases Palico attack power and defense by 5%.Lv. 2:Increases Palico attack power and defense by 10%.Lv. 3:Increases Palico attack power and defense by 15%.Lv. 4:Increases Palico attack power and defense by 20%.Lv. 5:Increases Palico attack power and defense by 25%.,5
Paralysis Resistance,Armor,Reduces the duration of paralysis.Lv. 1:Reduces the duration of paralysis by 30%.Lv. 2:Reduces the duration of paralysis by 60%.Lv. 3:Prevents paralysis.,3
Partbreaker,Armor,"Makes it easier to break large monster parts, and increases damage dealt when destroying a wound with a Focus Strike.Lv. 1:Increases part damage and damage dealt when conditions are met by 10%.Lv. 2:Increases part damage and damage dealt when conditions are met by 20%.Lv. 3:Increases part damage and damage dealt when conditions are met by 30%.",3
Peak Performance,Armor,Increases attack when your health is full.Lv. 1:Attack +3 while active.Lv. 2:Attack +6 while active.Lv. 3:Attack +10 while active.Lv. 4:Attack +15 while active.Lv. 5:Attack +20 while active.,5
Poison Resistance,Armor,Reduces damage while poisoned.Lv. 1:Reduces the number of times you take poison damage.Lv. 2:Greatly reduces the number of times you take poison damage.Lv. 3:Prevents poison.,3
Quick Sheathe,Armor,Speeds up weapon sheathing.Lv. 1:Slightly increases sheathing speed.Lv. 2:Increases sheathing speed.Lv. 3:Greatly increases sheathing speed.,3
Recovery Speed,Armor,Speeds healing of recoverable damage (the red portion of the Health Gauge).Lv. 1:Doubles the speed at which you heal recoverable damage.Lv. 2:Triples the speed at which you heal recoverable damage.Lv. 3:Quadruples the speed at which you heal recoverable damage.,3
Recovery Up,Armor,Increases the amount recovered when restoring health.Lv. 1:Slightly increases recovery.Lv. 2:Moderately increases recovery.Lv. 3:Greatly increases recovery.,3
Resentment,Armor,Increases attack when you have recoverable damage (the red portion of your Health Gauge).Lv. 1:Attack +5 while active.Lv. 2:Attack +10 while active.Lv. 3:Attack +15 while active.Lv. 4:Attack +20 while active.Lv. 5:Attack +25 while active.,5
Rice Ball,Armor,Increases the attack power of Akuma actions and stun damage.Lv. 1:Activates the skill effect.,1
Self-Improvement,Armor,Attack and defense increase as time passes while on a quest. (The maximum is reached after 30 minutes.)Lv. 1:Activates skill effect.,1
Shock Absorber,Armor,Disables damage reactions when you hit a friend or when a friend hits you.Lv. 1:Activates skill effect.,1
Sleep Resistance,Armor,Reduces the duration of sleep.Lv. 1:Reduces the duration of sleep by 30%.Lv. 2:Reduces the duration of sleep by 60%.Lv. 3:Prevents sleep.,3
Speed Eating,Armor,Increases meat-eating and item-consumption speed.Lv. 1:Moderately increases eating speed.Lv. 2:Increases eating speed.Lv. 3:Greatly increases eating speed.,3
Stamina Surge,Armor,Speeds up stamina recovery.Lv. 1:Stamina recovery speed +10%.Lv. 2:Stamina recovery speed +30%.Lv. 3:Stamina recovery speed +50%.,3
Stench Resistance,Armor,Grants protection against stench.Lv. 1:Reduces stench duration by 50%.Lv. 2:Prevents stench.,2
Stun Resistance,Armor,Reduces stun duration.Lv. 1:Reduces the duration of stun by 30%.Lv. 2:Reduces the duration of stun by 60%.Lv. 3:Prevents stun.,3
Survival Expert,Armor,Extra health is recovered from environmental interactables.Lv. 1:Restores 50 health.Lv. 2:Restores 80 health.Lv. 3:Restores 100 health.,3
Thunder Resistance,Armor,"Increases thunder resistance. Also improves defense at higher levels.Lv. 1:Thunder resistance +6Lv. 2:Thunder resistance +12Lv. 3:Thunder resistance +20, Defense +10",3
Tool Specialist,Armor,Reduces the recharge time for specialized tools.Lv. 1:Shortens recharge time by 10%.Lv. 2:Shortens recharge time by 20%.Lv. 3:Shortens recharge time by 30%.Lv. 4:Shortens recharge time by 40%.Lv. 5:Shortens recharge time by 50%.,5
Tremor Resistance,Armor,Grants protection against ground tremors.Lv. 1:Nullifies very minor ground tremors and halves effects of minor ground tremors.Lv. 2:Nullifies up to minor ground tremors and greatly reduces the effects of major grounded tremors.Lv. 3:Nullifies all ground tremors.,3
Water Resistance,Armor,Increases water resistance. Also improves defense at higher levels.Lv. 1:Water resistance +6.Lv. 2:Water resistance + 12.Lv. 3:Water resistance + 20. Defense +10.,3
Weakness Exploit,Armor,"Increases the affinity of attacks that exploit a monster's weak points and wounds.Lv. 1:Attacks that hit weak points gain affinity +5%, with an extra 3% on wounds.Lv. 2:Attacks that hit weak points gain affinity +10%, with an extra 5% on wounds.Lv. 3:Attacks that hit weak points gain affinity +15%, with an extra 10% on wounds.Lv. 4:Attacks that hit weak points gain affinity +20%, with an extra 15% on wounds.Lv. 5:Attacks that hit weak points gain affinity +30%, with an extra 20% on wounds.",5
Wide-Range,Armor,Allows the effects of certain items to also affect nearby allies.Lv. 1:Items affect nearby allies with 33% of their efficacy.Lv. 2:Items affect nearby allies in a wider radius with 33% of their efficacy.Lv. 3:Items affect nearby allies in a wider radius with 66% of their efficacy.Lv. 4:Items affect nearby allies in a much wider radius with 66% of their efficacy.Lv. 5:Items affect nearby allies in a much wider radius with full efficacy.,5
Windproof,Armor,Grants protection against wind pressure.Lv. 1:Negates minor wind pressure and halves the effect of major wind pressure.Lv. 2:Negates minor wind pressure and halves the effect of dragon wind pressure.Lv. 3:Negates all kinds of wind pressure.,3
